top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 246 total,   1 em exec., 245 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,2 us,  2,2 sy,  0,0 ni, 93,3 id,  0,0 wa,  0,0 hi,  2,2 si,  0,0 st 
GB mem :      5,8 total,      0,5 free,      1,6 used,      4,0 buff/cache     
GB swap:      4,0 total,      4,0 free,      0,0 used.      4,2 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
    927 message+  20   0   12,0m   7,5m   4,6m S   0,0   0,1   0:41.54 dbus-da+
   3573 aluno     20   0  516,5m   7,4m   6,6m S   0,0   0,1   0:00.10 gsd-rfk+
   4340 aluno     20   0   15,1m   7,4m   5,2m S   0,0   0,1   0:12.22 sshd
   3540 aluno     20   0  372,5m   7,3m   6,7m S   0,0   0,1   0:00.03 gsd-a11+
    949 root      20   0  300,2m   7,3m   6,6m S   0,0   0,1   0:00.08 switche+
   3822 aluno     20   0  301,1m   7,1m   6,4m S   0,0   0,1   0:00.01 gvfs-gp+
   3329 aluno     20   0  158,8m   6,9m   6,3m S   0,0   0,1   0:00.00 gcr-ssh+
  57604 lp        20   0   16,4m   6,9m   6,0m S   0,0   0,1   0:00.00 dbus
   3806 aluno     20   0  300,2m   6,9m   6,3m S   0,0   0,1   0:00.01 gvfs-go+
   3815 aluno     20   0  300,1m   6,8m   6,2m S   0,0   0,1   0:00.00 gvfs-mt+
   4001 aluno     20   0  228,4m   6,8m   6,2m S   0,0   0,1   0:00.01 gvfsd-m+
   4633 aluno     20   0    9,6m   6,7m   4,2m S   0,0   0,1   0:00.47 bash
   3218 aluno     20   0   10,6m   6,7m   4,7m S   0,0   0,1   0:00.60 dbus-da+
   1590 root      20   0   85,8m   6,6m   3,5m S   0,0   0,1   0:00.12 smbd-no+
   3574 aluno     20   0  299,9m   6,6m   6,0m S   0,0   0,1   0:00.02 gsd-scr+
   3244 aluno     20   0  227,9m   6,6m   6,0m S   0,0   0,1   0:00.00 gdm-way+
