top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 249 total,   2 em exec., 247 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,4 us,  0,0 sy,  0,0 ni, 97,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :   5920,9 total,    493,6 free,   1660,4 used,   4088,6 buff/cache     
MB swap:   4096,0 total,   4095,4 free,      0,6 used.   4260,6 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   3205 aluno     20   0  303924   6464   5808 S   0,0   0,1   0:00.59 user-se+
   1070 syslog    20   0  222572   6384   4604 S   0,0   0,1   0:00.61 rsyslogd
   3204 aluno     20   0   95148   6208   5328 S   0,0   0,1   0:00.01 pipewire
   1591 root      20   0   87816   6140   2972 S   0,0   0,1   0:00.13 smbd-cl+
   3891 aluno     20   0  230248   6100   5508 S   0,0   0,1   0:00.02 dconf-s+
   3330 aluno     20   0   88960   5928   5472 S   0,0   0,1   0:00.00 gnome-s+
  88674 aluno     20   0   12040   5884   3700 R   0,0   0,1   0:00.00 top
  47178 aluno     20   0    8984   5404   3796 R  20,0   0,1  21:49.89 htop
   3405 aluno     20   0    9492   5388   4780 S   0,0   0,1   0:00.02 dbus-da+
   4051 aluno     20   0  215712   4508   3888 S   0,0   0,1   0:00.62 VBoxCli+
   2688 root      20   0  290204   3932   3384 S   0,0   0,1   0:15.36 VBoxSer+
  88667 aluno     20   0    7352   3692   3412 S   0,0   0,1   0:00.00 cpuUsag+
  88672 aluno     20   0    7352   3680   3412 S   0,0   0,1   0:00.00 000-top+
   3193 aluno     20   0   21480   3664   1848 S   0,0   0,1   0:00.00 (sd-pam)
   3233 rtkit     21   1   22948   3548   3252 S   0,0   0,1   0:00.87 rtkit-d+
    948 root      20   0    6836   2940   2696 S   0,0   0,0   0:00.54 cron
   4100 aluno     20   0  149008   2516   2136 S   0,0   0,0   0:09.38 VBoxCli+
  88498 aluno     20   0    6024   2468   2352 S   0,0   0,0   0:00.00 sleep
  88670 aluno     20   0    6024   2456   2344 S   0,0   0,0   0:00.00 sleep
   2686 root      20   0  350068   2452   2172 S   0,0   0,0   0:50.08 VBoxDRM+
   1493 kernoops  20   0   12752   2448   1968 S   0,0   0,0   0:00.07 kernelo+
   1503 kernoops  20   0   12752   2348   1864 S   0,0   0,0   0:00.06 kernelo+
   3311 root      20   0    2712   2100   1980 S   0,0   0,0   0:00.00 fusermo+
   4341 aluno     20   0    2808   1960   1808 S   0,0   0,0   0:00.08 sh
   4422 aluno     20   0    2808   1916   1808 S   0,0   0,0   0:00.00 sh
  88666 aluno     20   0    2808   1852   1748 S   0,0   0,0   0:00.00 sh
   4049 aluno     20   0   16904   1604   1248 S   0,0   0,0   0:00.00 VBoxCli+
   4099 aluno     20   0   16904   1584   1232 S   0,0   0,0   0:00.00 VBoxCli+
    966 avahi     20   0    8488   1528   1156 S   0,0   0,0   0:00.00 avahi-d+
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.03 kthreadd
      3 root      20   0       0      0      0 S   0,0   0,0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     14 root      20   0       0      0      0 S   0,0   0,0   0:02.13 ksoftir+
     15 root      20   0       0      0      0 I   0,0   0,0   1:03.30 rcu_pre+
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_exp+
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.12 rcu_exp+
     18 root      rt   0       0      0      0 S   0,0   0,0   0:00.57 migrati+
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kprobe-+
     20 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     22 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     23 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     24 root      rt   0       0      0      0 S   0,0   0,0   0:01.00 migrati+
     25 root      20   0       0      0      0 S   0,0   0,0   0:00.41 ksoftir+
     27 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     28 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
